Pos,name,population,popGrowth,perCapitaGdp,migration,infantMortality,lifeExpectancy,healthExpeditures,obesity,education,unemployment
23,United Kingdom,64088222,0.54,37700,2.54,4.38,80.54,9.4,26.9,6.2,5.7
4,United States,321368864,0.78,54800,3.86,5.87,79.68,17.9,33,5.4,6.2
134,Uruguay,3341893,0.27,20500,-0.9,8.74,77,8.9,24.8,4.5,6.7
46,Uzbekistan,29199942,0.93,5600,-2.37,19.2,73.55,5.9,15.1,null,4.9
183,Vanuatu,272264,1.95,2500,-1.47,15.7,73.06,3.6,27.5,5,1.7
45,Venezuela,29275460,1.39,17900,0,18.91,74.54,4.6,30.3,6.9,7.8
15,Vietnam,94348835,0.97,5600,-0.3,18.39,73.16,6.6,1.7,6.3,3.1
195,Virgin Islands,103574,-0.59,14500,-7.67,6.64,79.89,null,null,null,6.2
222,Wallis and Futuna,15613,0.33,3800,-5.06,4.43,79.57,null,null,null,12.2
142,West Bank,2785366,1.95,4900,0,13.08,75.91,null,null,null,16
48,Yemen,26737317,2.47,3900,1,48.93,65.18,5.5,14.5,5.2,27
70,Zambia,15066266,2.88,4100,-0.68,64.72,52.15,6.5,3.6,1.3,15
72,Zimbabwe,14229541,2.21,2000,0,26.11,57.05,,7,2.5,95
